date,category,amount,description,payment_mode,type
2024-01-01,Food,250,Breakfast,Cash,Expense
2024-01-02,Food,300,Lunch,UPI,Expense
2024-01-03,Rent,8000,Monthly Rent,UPI,Expense
2024-01-04,Travel,150,Bus,Card,Expense
2024-01-05,Shopping,1200,Clothes,Card,Expense
2024-01-06,Utilities,900,Electricity Bill,UPI,Expense
2024-01-07,Food,350,Dinner,UPI,Expense
2024-01-08,Entertainment,500,Movie,Card,Expense
2024-01-09,Food,200,Snacks,Cash,Expense
2024-01-10,Transport,100,Auto,UPI,Expense
2024-01-11,Food,300,Lunch,UPI,Expense
2024-01-12,Shopping,800,Shoes,Card,Expense
2024-01-13,Food,400,Dinner,UPI,Expense
2024-01-14,Utilities,1000,Water Bill,UPI,Expense
2024-01-15,Travel,250,Cab,Card,Expense
2024-01-16,Food,350,Lunch,Cash,Expense
2024-01-17,Entertainment,600,Games,UPI,Expense
2024-01-18,Food,200,Breakfast,Cash,Expense
2024-01-19,Shopping,1500,Gadgets,Card,Expense
2024-01-20,Food,300,Dinner,UPI,Expense
2024-01-21,Transport,120,Bus,UPI,Expense
2024-01-22,Food,280,Lunch,Cash,Expense
2024-01-23,Utilities,950,Internet,UPI,Expense
2024-01-24,Food,350,Dinner,UPI,Expense
2024-01-25,Travel,400,Train,Card,Expense
2024-01-26,Shopping,1000,Accessories,Card,Expense
2024-01-27,Food,220,Breakfast,Cash,Expense
2024-01-28,Entertainment,700,Concert,Card,Expense
2024-01-29,Food,310,Lunch,UPI,Expense
2024-01-30,Transport,150,Auto,UPI,Expense

2024-02-01,Income,25000,Salary,Bank,Income
2024-02-02,Food,300,Lunch,UPI,Expense
2024-02-03,Rent,8000,Rent,UPI,Expense
2024-02-04,Travel,200,Taxi,Card,Expense
2024-02-05,Shopping,1800,Electronics,Card,Expense
2024-02-06,Utilities,1100,Electricity,UPI,Expense
2024-02-07,Food,350,Dinner,UPI,Expense
2024-02-08,Entertainment,450,Movie,Card,Expense
2024-02-09,Food,250,Snacks,Cash,Expense
2024-02-10,Transport,120,Bus,UPI,Expense
2024-02-11,Food,300,Lunch,UPI,Expense
2024-02-12,Shopping,900,Clothes,Card,Expense
2024-02-13,Food,400,Dinner,UPI,Expense
2024-02-14,Utilities,1000,Water,UPI,Expense
2024-02-15,Travel,300,Cab,Card,Expense
2024-02-16,Food,350,Lunch,Cash,Expense
2024-02-17,Entertainment,600,Games,UPI,Expense
2024-02-18,Food,200,Breakfast,Cash,Expense
2024-02-19,Shopping,1300,Gadgets,Card,Expense
2024-02-20,Food,300,Dinner,UPI,Expense
2024-02-21,Transport,100,Bus,UPI,Expense
2024-02-22,Food,280,Lunch,Cash,Expense
2024-02-23,Utilities,950,Internet,UPI,Expense
2024-02-24,Food,350,Dinner,UPI,Expense
2024-02-25,Travel,400,Train,Card,Expense
2024-02-26,Shopping,1100,Accessories,Card,Expense
2024-02-27,Food,220,Breakfast,Cash,Expense
2024-02-28,Entertainment,700,Concert,Card,Expense

2024-03-01,Income,26000,Salary,Bank,Income
2024-03-02,Food,320,Lunch,UPI,Expense
2024-03-03,Rent,8500,Rent,UPI,Expense
2024-03-04,Travel,250,Cab,Card,Expense
2024-03-05,Shopping,2000,Phone,Card,Expense
2024-03-06,Utilities,1200,Electricity,UPI,Expense
2024-03-07,Food,360,Dinner,UPI,Expense
2024-03-08,Entertainment,500,Movie,Card,Expense
2024-03-09,Food,270,Snacks,Cash,Expense
2024-03-10,Transport,130,Bus,UPI,Expense
2024-03-11,Food,310,Lunch,UPI,Expense
2024-03-12,Shopping,950,Shoes,Card,Expense
2024-03-13,Food,420,Dinner,UPI,Expense
2024-03-14,Utilities,1100,Water,UPI,Expense
2024-03-15,Travel,350,Train,Card,Expense
2024-03-16,Food,370,Lunch,Cash,Expense
2024-03-17,Entertainment,650,Games,UPI,Expense
2024-03-18,Food,210,Breakfast,Cash,Expense
2024-03-19,Shopping,1400,Gadgets,Card,Expense
2024-03-20,Food,330,Dinner,UPI,Expense